n,T(n)
91,0.010143
91,0.011559
91,0.013
91,0.010626
91,0.0107
92,0.010232
92,0.010806
92,0.010007
92,0.012199
92,0.010304
93,0.011627
93,0.012954
93,0.011591
93,0.010633
93,0.011079
94,0.010128
94,0.011533
94,0.011423
94,0.012811
94,0.017813
95,0.017409
95,0.01728
95,0.01162
95,0.011078
95,0.011157
96,0.011707
96,0.010749
96,0.011915
96,0.011833
96,0.010941
97,0.011996
97,0.01842
97,0.011464
97,0.011705
97,0.011183
98,0.012636
98,0.016547
98,0.018938
98,0.018287
98,0.012336
99,0.011796
99,0.239064
99,0.015725
99,0.011983
99,0.012388
100,0.017847
100,0.017862
100,0.017863
100,0.017463
100,0.018281
101,0.020004
101,0.01265
101,0.012397
101,0.012375
101,0.012295
102,0.012035
102,0.013021
102,0.012345
102,0.013321
102,0.019714
103,0.014867
103,0.012577
103,0.012063
103,0.012047
103,0.013443
104,0.01161
104,0.017496
104,0.011221
104,0.011124
104,0.010907
105,0.011165
105,0.016791
105,0.019045
105,0.020777
105,0.017776
106,0.01765
106,0.017487
106,0.019266
106,0.017691
106,0.017291
107,0.018717
107,0.016221
107,0.018048
107,0.016936
107,0.022545
108,0.017457
108,0.018785
108,0.016617
108,0.016544
108,0.011486
109,0.011735
109,0.01613
109,0.017189
109,0.016942
109,0.013759
110,0.013162
110,0.015868
110,0.01631
110,0.016795
110,0.016207
111,0.011473
111,0.023625
111,0.020703
111,0.015145
111,0.01565
112,0.015904
112,0.011501
112,0.011264
112,0.015716
112,0.013445
113,0.012043
113,0.012432
113,0.012694
113,0.01186
113,0.011343
114,0.01185
114,0.013037
114,0.012217
114,0.012547
114,0.012413
115,0.011774
115,0.010725
115,0.011393
115,0.01179
115,0.015691
116,0.01192
116,0.012077
116,0.011316
116,0.011934
116,0.010751
117,0.010999
117,0.011468
117,0.011368
117,0.010515
117,0.012509
118,0.01179
118,0.013059
118,0.012646
118,0.012393
118,0.012468
119,0.012662
119,0.012585
119,0.012363
119,0.014189
119,0.012688
120,0.012859
120,0.013305
120,0.012955
120,0.016484
120,0.016912
121,0.013148
121,0.012646
121,0.012806
121,0.013313
121,0.012667
122,0.01335
122,0.014909
122,0.01426
122,0.013763
122,0.012612
123,0.014763
123,0.012516
123,0.012556
123,0.012559
123,0.012815
124,0.012924
124,0.012101
124,0.013297
124,0.012989
124,0.013996
125,0.013354
125,0.012575
125,0.013434
125,0.013217
125,0.012691
126,0.013754
126,0.012598
126,0.013578
126,0.013822
126,0.014374
127,0.013383
127,0.013495
127,0.01327
127,0.013124
127,0.014848
128,0.013473
128,0.013143
128,0.013084
128,0.013816
128,0.012985
129,0.013039
129,0.016214
129,0.01271
129,0.013193
129,0.013051
130,0.013137
130,0.013607
130,0.013168
130,0.013505
130,0.013087
131,0.013046
131,0.014957
131,0.013225
131,0.01269
131,0.012852
132,0.014871
132,0.013908
132,0.01425
132,0.013061
132,0.013203
133,0.013529
133,0.013735
133,0.013349
133,0.014243
133,0.013554
134,0.01326
134,0.01265
134,0.013251
134,0.012525
134,0.03638
135,0.031492
135,0.018667
135,0.020558
135,0.019605
135,0.018518
136,0.021019
136,0.017659
136,0.018806
136,0.017721
136,0.017521
137,0.016499
137,0.015887
137,0.01334
137,0.015321
137,0.014185
138,0.013634
138,0.014034
138,0.015021
138,0.014196
138,0.015773
139,0.015083
139,0.017565
139,0.014638
139,0.016364
139,0.014674
140,0.017636
140,0.013889
140,0.014096
140,0.014501
140,0.017268
141,0.013965
141,0.013684
141,0.015133
141,0.014972
141,0.022893
142,0.015418
142,0.014555
142,0.013951
142,0.018345
142,0.020462
143,0.021101
143,0.016565
143,0.020303
143,0.022703
143,0.021843
144,0.014445
144,0.015467
144,0.015101
144,0.014245
144,0.014835
145,0.014577
145,0.020841
145,0.021727
145,0.015084
145,0.014988
146,0.024509
146,0.020885
146,0.014954
146,0.018234
146,0.023636
147,0.015596
147,0.015174
147,0.021857
147,0.015382
147,0.015495
148,0.016369
148,0.014724
148,0.015466
148,0.015242
148,0.016861
149,0.014295
149,0.015346
149,0.016905
149,0.014443
149,0.013969
150,0.01439
150,0.0148
150,0.01534
150,0.014985
150,0.015489
151,0.016133
151,0.014617
151,0.016604
151,0.0172
151,0.014869
152,0.014872
152,0.020384
152,0.015277
152,0.015402
152,0.015233
153,0.015235
153,0.015915
153,0.015084
153,0.01487
153,0.016559
154,0.016828
154,0.015921
154,0.016048
154,0.015543
154,0.016456
155,0.014803
155,0.016957
155,0.01726
155,0.015601
155,0.017156
156,0.015675
156,0.015521
156,0.016354
156,0.015507
156,0.01603
157,0.015002
157,0.018276
157,0.016862
157,0.018052
157,0.016037
158,0.016077
158,0.014932
158,0.015719
158,0.01644
158,0.015878
159,0.015853
159,0.018489
159,0.016264
159,0.018656
159,0.015928
160,0.016623
160,0.018197
160,0.016987
160,0.018475
160,0.01613
161,0.016732
161,0.015822
161,0.016495
161,0.01547
161,0.016583
162,0.015888
162,0.015643
162,0.017117
162,0.015987
162,0.01798
163,0.017501
163,0.017951
163,0.016119
163,0.016956
163,0.020772
164,0.016434
164,0.01679
164,0.028565
164,0.021554
164,0.019454
165,0.016886
165,0.017495
165,0.015579
165,0.016502
165,0.018431
166,0.018252
166,0.020329
166,0.019385
166,0.018926
166,0.017076
167,0.018731
167,0.016387
167,0.017192
167,0.017736
167,0.016955
168,0.016934
168,0.018492
168,0.01697
168,0.017402
168,0.018101
169,0.017428
169,0.01716
169,0.020893
169,0.017098
169,0.01641
170,0.017642
170,0.017692
170,0.01688
170,0.017302
170,0.023418
171,0.019357
171,0.027232
171,0.018981
171,0.019839
171,0.018751
172,0.028651
172,0.026114
172,0.02622
172,0.019569
172,0.030637
173,0.01861
173,0.018912
173,0.026673
173,0.017876
173,0.01775
174,0.018709
174,0.020062
174,0.017516
174,0.020764
174,0.017166
175,0.02062
175,0.019641
175,0.018111
175,0.020763
175,0.017021
176,0.020515
176,0.017629
176,0.017991
176,0.018753
176,0.017365
177,0.017214
177,0.018117
177,0.019757
177,0.019346
177,0.018305
178,0.017582
178,0.017804
178,0.018301
178,0.018438
178,0.018968
179,0.018338
179,0.018442
179,0.018081
179,0.018562
179,0.019305
180,0.021294
180,0.01789
180,0.018055
180,0.018234
180,0.018999
181,0.020029
181,0.020264
181,0.019909
181,0.021487
181,0.020234
182,0.019283
182,0.01921
182,0.021332
182,0.020075
182,0.018751
183,0.018691
183,0.020866
183,0.018674
183,0.021778
183,0.019921
184,0.02829
184,0.021935
184,0.019735
184,0.021507
184,0.020548
185,0.021453
185,0.020692
185,0.019747
185,0.019391
185,0.021802
186,0.020651
186,0.028525
186,0.033566
186,0.034089
186,0.036347
187,0.03161
187,0.029527
187,0.022558
187,0.018698
187,0.032942
188,0.019257
188,0.019648
188,0.018658
188,0.024788
188,0.019011
189,0.020472
189,0.020632
189,0.0205
189,0.020931
189,0.019942
190,0.019668
190,0.023482
190,0.020608
190,0.019989
190,0.019589
191,0.022113
191,0.021151
191,0.022333
191,0.024005
191,0.02019
192,0.020744
192,0.024233
192,0.0186
192,0.020818
192,0.02147
193,0.019659
193,0.019085
193,0.02199
193,0.021954
193,0.022175
194,0.019754
194,0.022502
194,0.034463
194,0.034136
194,0.031327
195,0.026711
195,0.025584
195,0.021209
195,0.022584
195,0.019862
196,0.020019
196,0.021608
196,0.021508
196,0.019659
196,0.021647
197,0.023275
197,0.020643
197,0.02234
197,0.033145
197,0.022202
198,0.020808
198,0.025218
198,0.022962
198,0.019956
198,0.020267
199,0.020899
199,0.022757
199,0.021558
199,0.019907
199,0.021404
200,0.02126
200,0.021877
200,0.020953
200,0.022513
200,0.023798
201,0.021139
201,0.024747
201,0.020423
201,0.020734
201,0.021773
202,0.021844
202,0.023293
202,0.023642
202,0.023629
202,0.020655
203,0.023699
203,0.022486
203,0.020445
203,0.023623
203,0.031525
204,0.036717
204,0.037546
204,0.025226
204,0.020683
204,0.022342
205,0.02104
205,0.023121
205,0.024321
205,0.021477
205,0.027285
206,0.024859
206,0.022718
206,0.020557
206,0.02185
206,0.021776
207,0.023394
207,0.021615
207,0.024492
207,0.024233
207,0.024281
208,0.021997
208,0.022073
208,0.021286
208,0.022965
208,0.025487
209,0.022115
209,0.023229
209,0.022091
209,0.022389
209,0.023575
210,0.022865
210,0.0246
210,0.024323
210,0.022453
210,0.023007
211,0.021565
211,0.023509
211,0.021591
211,0.399873
211,0.024997
212,0.021649
212,0.024085
212,0.022888
212,0.022792
212,0.024927
213,0.024864
213,0.024411
213,0.023075
213,0.02353
213,0.023135
214,0.034434
214,0.02751
214,0.022944
214,0.02141
214,0.024511
215,0.023641
215,0.024035
215,0.023335
215,0.026109
215,0.024578
216,0.023154
216,0.025057
216,0.032788
216,0.025642
216,0.024283
217,0.022567
217,0.024227
217,0.022901
217,0.025728
217,0.022525
218,0.024969
218,0.027244
218,0.02442
218,0.024968
218,0.022418
219,0.024558
219,0.024864
