1000,9965.784285
2000,21931.56857
3000,34652.24036
4000,47863.13714
5000,61438.5619
6000,75304.48071
7000,89411.97445
8000,103726.2743
9000,118221.3836
10000,132877.1238
11000,147677.3749
12000,162608.9614
13000,177660.912
14000,192823.9489
15000,208090.1232
16000,223452.5486
17000,238905.2011
18000,254442.7671
19000,270060.5242
20000,285754.2476
21000,301520.1359
22000,317354.7499
23000,333254.9635
24000,349217.9228
25000,365241.0119
26000,381321.8241
27000,397458.1382
28000,413647.8978
29000,429889.1931
30000,446180.2464
31000,462519.3984
32000,478905.0971
33000,495335.8873
34000,511810.4023
35000,528327.3556
36000,544885.5343
37000,561483.7931
38000,578121.0483
39000,594796.2736
40000,611508.4952
41000,628256.7879
42000,645040.2717
43000,661858.1087
44000,678709.4997
45000,695593.6821
46000,712509.9271
47000,729457.5374
48000,746435.8457
49000,763444.2123
50000,780482.0237
51000,797548.691
52000,814643.6481
53000,831766.3512
54000,848916.2765
55000,866092.9199
56000,883295.7956
57000,900524.435
58000,917778.3862
59000,935057.2127
60000,952360.4928
61000,969687.819
62000,987038.7969
63000,1004413.045
64000,1021810.194
65000,1039229.886
66000,1056671.775
67000,1074135.523
68000,1091620.805
69000,1109127.303
70000,1126654.711
71000,1144202.73
72000,1161771.069
73000,1179359.446
74000,1196967.586
75000,1214595.223
76000,1232242.097
77000,1249907.954
78000,1267592.547
79000,1285295.638
80000,1303016.99
81000,1320756.377
82000,1338513.576
83000,1356288.368
84000,1374080.543
85000,1391889.894
86000,1409716.217
87000,1427559.317
88000,1445418.999
89000,1463295.077
90000,1481187.364
91000,1499095.682
92000,1517019.854
93000,1534959.708
94000,1552915.075
95000,1570885.79
96000,1588871.691
97000,1606872.621
98000,1624888.425
99000,1642918.95
100000,1660964.047
