n,T(n)
87,0.253689
88,0.351496
88,0.039766
88,0.020605
88,0.064579
88,0.053913
89,0.100107
89,0.417664
89,0.188304
89,0.092336
89,0.040013
90,0.107583
90,0.154951
90,0.130226
90,0.232523
90,0.023279
91,0.102942
91,0.048513
91,0.119994
91,0.022156
91,0.0918
92,0.007533
92,0.043167
92,0.011139
92,0.023846
92,0.060063
93,0.122139
93,0.031009
93,0.187173
93,0.081047
93,0.065272
94,0.073242
94,0.05194
94,0.144712
94,0.534529
94,0.158049
95,0.047446
95,0.544865
95,0.114992
95,0.087699
95,0.037111
96,0.245287
96,0.016865
96,0.060616
96,0.108299
96,0.222626
97,0.057483
97,0.087158
97,0.053826
97,0.100663
97,0.011597
98,0.062352
98,0.63235
98,0.216718
98,0.522393
98,0.954546
99,0.072847
99,0.03937
99,0.022798
99,0.279685
99,0.246384
100,0.168878
100,0.081451
100,0.079061
100,0.038287
100,0.054868
101,0.741964
101,0.113604
101,0.101337
101,0.147377
101,0.069558
102,0.12656
102,0.396089
102,0.108159
102,0.595013
102,0.502792
103,0.099408
103,0.106079
103,0.177726
103,0.168689
103,0.065263
104,0.083849
104,0.878741
104,0.319153
104,0.035232
104,0.061405
105,0.282069
105,2.297263
105,0.088161
105,0.040635
105,0.3625
106,0.105279
106,0.337599
106,0.169668
106,2.252372
106,1.005548
107,0.136407
107,0.972134
107,1.457025
107,0.361704
107,0.270539
108,0.172614
108,0.114624
108,0.378135
108,0.067393
108,3.814847
109,0.224728
109,0.222168
109,1.506746
109,1.059296
109,0.156993
110,0.780231
110,0.046239
110,0.331734
110,0.363322
110,0.385377
111,1.311235
111,0.282276
111,0.144558
111,0.717895
111,2.211932
112,0.072259
112,0.136925
112,0.138605
112,2.530668
112,0.698366
113,0.130978
113,0.052899
113,0.418716
113,0.253191
113,0.052323
114,0.066602
114,2.326959
114,0.106325
114,0.040736
114,4.094466
115,1.841749
115,0.532476
115,2.543709
115,0.117817
115,5.667718
116,1.242657
116,0.251797
116,0.045107
116,0.40106
116,0.044688
117,0.023205
117,0.384018
117,0.078111
117,0.505742
117,0.296404
118,0.130841
118,0.138326
118,0.963422
118,0.365092
118,0.523554
119,0.220657
119,0.906943
119,3.221958
119,0.252235
119,0.595003
120,2.657762
120,0.119993
120,0.3417
120,1.656202
120,0.697641
121,0.218789
121,0.165261
121,0.128782
121,1.590791
121,1.000839
122,1.223006
122,0.256858
122,1.258413
122,0.159011
122,0.350425
123,0.399327
123,0.180233
123,0.490815
123,1.008432
123,0.700262
124,0.704466
124,0.304932
124,0.602632
124,0.092876
124,0.731677
125,1.277812
125,0.057448
125,0.361609
125,0.579063
125,2.865857
126,0.157028
126,0.024681
126,2.397907
126,0.275558
126,0.06485
127,1.26218
127,1.093228
127,0.154592
127,0.136906
127,0.113483
128,0.073482
128,0.141105
128,0.116954
128,0.427468
128,1.451346
129,0.338507
129,0.189308
129,0.090293
129,0.298808
129,0.361584
130,0.086915
130,0.501704
130,1.74007
130,1.209772
130,0.163745
131,1.485669
131,0.816649
131,0.142621
131,0.505246
131,6.90303
132,1.171795
132,0.400512
132,0.229002
132,0.098403
132,0.177564
133,0.357455
133,1.120867
133,0.202414
133,0.179406
133,1.623039
134,1.630635
134,0.046979
134,0.493891
134,10.072454
134,2.217591
135,0.81163
135,2.199027
135,0.855683
135,0.340722
135,0.967739
136,0.780231
136,0.065133
136,0.454254
136,0.139379
136,10.933943
137,5.579375
137,0.166639
137,1.679374
137,1.01675
137,0.076396
138,3.03324
138,0.195205
138,0.677586
138,0.728846
138,0.268063
139,0.361289
139,0.234846
139,0.717712
139,0.161007
139,0.340535
140,0.777168
140,0.253896
140,0.172003
140,0.402286
140,1.451958
141,0.172671
141,1.137127
141,3.165011
141,1.384338
141,0.116256
142,0.108156
142,0.589174
142,0.49344
142,4.342106
142,0.375073
143,0.85066
143,5.797952
143,6.130062
143,0.564551
143,0.819272
144,0.290237
144,0.56489
144,3.377285
144,0.308422
144,2.742055
145,1.27766
145,0.367381
145,1.138285
145,0.652023
145,0.719381
146,2.416667
146,0.119359
146,0.190433
146,0.259337
146,0.738329
147,0.156015
147,2.146284
147,1.302842
147,1.130083
147,6.933109
148,0.206882
148,6.547615
148,1.384898
148,0.124901
148,1.139273
149,0.170894
149,1.531688
149,1.614803
149,1.60588
149,0.168862
150,0.850453
150,2.084862
150,1.536697
150,3.255225
150,0.09689
151,0.359165
151,6.258361
151,1.083105
151,9.420458
151,0.086009
152,16.742468
152,0.169982
152,3.209909
152,1.569469
152,2.532257
153,0.432519
153,0.572856
153,3.173561
153,0.781951
153,1.05672
154,0.119019
154,2.787007
154,5.827468
154,2.101342
154,3.681195
155,3.744821
155,3.647358
155,4.894253
155,0.70123
155,1.937729
